REFERENCIA;PRECIO;PRODUCTO
10216;600;BOLIGRAFO BIC ECO CLIC COLOR STDO RF 9291                
10220;300;BOLIGRAFO BIC FASHION 1.2 MIX SHIMERS                 
10223;210000;ROLLO BOLSA PUBLICIDAD 18X30 15 KILOS                
10226;500;BOLIGRAFO BIC PRECISION FINO COLOR STDO             
10230;500;BOLIGRAFO BIC PREC-SUAVIDAD COLOR STDO X12 RF 0241       
10231;205900;ROLLO BOLSA PUBLICIDAD 14X20 14.2 KILOS         
10233;1000;BOLIGRAFO PAPER MATE GEL 0.6MM               
10234;8900;BOLIGRAFO CHARUCA INOXCROM 701230                 
10235;1800;BOLIGRAFO CON BORRADOR RF GP-2518 CLARK DIST      
10238;1000;BOLIGRAFO DORADO ST3109-X                         
10239;6600;BOLIGRAFO ESCARCHADO-FLUOR GIP-1506-10 POINTER    
10242;6200;BOLIGRAFO ESCARCHADO X10 M1501A-10 JK             
10244;3900;BOLIGRAFO ESCARCHADO X6 M1501A-6 JK               
10246;197250;ROLLO BOLSA PUBLICIDAD 10X16 13.6 KILOS    
10247;700;BOLIGRAFO EXCEL 828M STDO UND LEGIS               
10248;224000;ROLLO BOLSA PUBLICIDAD 18X30 16 KILOS        
10252;6200;BOLIGRAFO FLUOR 1501-10 JK                        
10253;3900;BOLIGRAFO FLUOR 1501-6 JK                         
10255;300;BOLIGRAFO FROSTY 1 0MM COLOR STDO ARTESCO              
10257;8400;BOLIGRAFO GEL ESCARCHA X10 GP-5010 POINTER      
10259;800;BOLIGRAFO GEL 0 7MM GP-158 JK                     
10261;1500;BOLIGRAFO GEL BS1284 CLARK                        
10262;8800;BOLIGRAFO GEL MIREYADO X10 GIPAO MARK             
10263;5000;BOLIGRAFO GEL MIREYADO X6 GIPAO MARK              
10267;13300;COSMETIQUERA DISNEY CUADRADA PRIMAVERA
10270;1800;BOLIGRAFO GEL 0.7 034 OFFIESCO   
10273;3800;BOLIGRAFO GEL PENTEL BL 417 NEGRO 
10274;2400;PROBADOR DE BILLETES BH-1380 CLARK
10276;3800;BOLIGRAFO GEL PENTEL BL 417 ROJO MARK             
10278;3200;BOLIGRAFO GELLY ROLL DORADO SAKURA                
10279;8500;BOLIGRAFO ESCARCHADO X10 H6096G CLARK         
10280;4300;BOLIGRAFO GP ESCARCHADO X6 SCHOOL OFFICE          
10282;5100;BOLIGRAFO GP GEL FLUOR X6 GP
10284;2300;PLUMON X12 AR2328 CLARK                         
10285;1500;BOLIGRAFO GEL 1.0 G-551 CLARK                 
10286;600;BOLIGRAFO GRIP ROJO TOIT                          
10287;5600;BOLIGRAFO PM INKJOY GEL X6 RT STDO                 
10289;5700;NOTAS ADHESIVAS X250H 374 OFFIESCO                      
10290;1800;BOLIGRAFO IMITACION LAMY AR-1451 CLARK 
10291;2000;BOLIGRAFO IMITACION PARKER MADE 571 CLARK         
10293;74900;BOLIGRAFO INGRAVID E-PLUS INOXCROM 701146         
10294;700;REGLA MADERA 30CM 2002 CLARK
10296;600;ESCARAPELA DOBLE VACUNA C6
10297;14200;BOLIGRAFO JAZZ ELEG AM / NG PELIKAN               
10298;16300;BOLIGRAFO JAZZ ELEG AZ / NG PELIKAN               
10299;16300;BOLIGRAFO JAZZ ELEG BLAN-T NG PELIKAN             
10300;16300;BOLIGRAFO JAZZ ELEG NEG/ NEG PELIKAN              
10301;11600;BOLIGRAFO JAZZ VELVET MATE AZ/NG PELIKAN           
10302;11600;BOLIGRAFO JAZZ VELVET BLAN-T NG PELIKAN           
10304;14700;BOLIGRAFO JAZZ VELVET MATE VD/NG PELIKAN            
10308;70000;TELA POLIESTER 50 MTS INVECRYL IMPERMEABILIZANTE INVESA                       
10309;1600;BOLIGRAFO K11 COLOR STOD KORES                         
10310;900;BOLIGRAFO K5 RETRACTIL COLOR STDO  X12                  
10314;400;BOLIGRAFO KEEPER INK DYNAMIC STDO LEGIS           
10315;5700;BOLIGRAFO LASER AR0674 CLARK                      
10318;1000;BOLIGRAFO LINER RT 308 STDO LEGIS                
10319;1600;BOLIGRAFO KM 300 RT NEGRO
10322;214700;ROLLO BOLSA PUBLICIDAD 18X30 14.8 KILOS  
10323;226850;ROLLO BOLSA PUBLICIDAD 18X30 16.2 KILOS      
10326;900;BOLIGRAFO LUX 032M COLOR STDO FABER C                    
10330;212850;ROLLO BOLSA PUBLICIDAD 18X30 15.2 KILOS       
10331;197250;ROLLO BOLSA PUBLICIDAD 14X20 13.6 KILOS             
10333;9900;BOLIGRAFO MADE RF 037 CLARK DIST                  
10336;1500;BOLIGRAFO MINI RETRACTIL COLOR STDO FABER C            
10350;9600;BOLIGRAFO PLATEADO ST3109-Z                       
10353;6600;BOLIGRAFO POINTER 1506-10 ESCARCHA ARGELIA        
10360;3400;GAFAS ADULTO MUJER HALLOWEN             
10362;211800;ROLLO BOLSA PUBLICIDAD 18X30 14.6 KILOS             
10363;1200;BOLIGRAFO PRIME RETRACTIL COLOR STDO FABER C           
10365;2100;BOLIGRAFO PUBLICITARIO 8230 CLARK       
10367;800;BOLIGRAFO RETRACTIL JOB F COLOR STDO FABER C
10371;201600;ROLLO BOLSA PUBLICIDAD 10X16 13.9 KILOS                          
10372;2100;BOLIGRAFO ROLLER GRIP 0 5 NEGRO BIC               
10373;4000;BOLIGRAFO ROLLER E-2185 ORO EDDING                       
10376;27900;BOLIGRAFO ROLLER STOLA III PLATA-NG PELIKAN        
10381;500;BOLIGRAFO SLY COLOR STDO PELIKAN                      
10387;15800;BOLIGRAFO SOFT GEL EST X10 PELIKAN                
10388;1200;BOLIGRAFO SOFT GEL COLOR STDO PELIKAN                  
10394;37000;BOLIGRAFO STOLA I AZUL-NEG PELIKAN                
10400;600;BOLIGRAFO TAPA K1 STDO KORES                     
10402;224850;ROLLO BOLSA PUBLICIDAD 18X30 15.5 KILOS    
10404;203000;ROLLO BOLSA PUBLICIDAD 14X20 14 KILOS           
10406;192900;ROLLO BOLSA PUBLICIDAD 10X16 13.3 KILOS      
10407;223300;ROLLO BOLSA PUBLICIDAD 18X30 15.4 KILOS     
10410;600;BOLIGRAFO TRIMAX GL-32M COLOR STDO ARTESCO             
10412;186200;ROLLO BOLSA PUBLICIDAD 18X30 13.3 KILOS          
10413;191400;ROLLO BOLSA PUBLICIDAD 14X20 13.2 KILOS      
10414;4900;BOLIGRAFO VISIO ZURDO KORES                       
10417;16300;BOLIGRAFO JAZZ ELEG FS / NG PELIKAN                
10418;14200;BOLIGRAFO JAZZ ELEG RJ / NG PELIKAN                
10420;16300;BOLIGRAFO JAZZ ELEG VD / NG PELIKAN                
10423;4100;FIJA BOLIGRAFO GAROZ                       
10425;900;MINA PLASTICA 641 0.7  GLADYS                       
10427;8100;MINA REPUESTO BOLIGRAFO ROLLER RF 3388B PELIKAN   
10430;12700;PLASTIMASA X4 PARCHESITOS      
10432;203000;PLUMA MINI NAKED PLATA INOXCROM 587170 FORMAS Y C 
10433;25500;PLUMA PRINTEMPS COTTON 66701113 FORMAS Y C        
10434;13000;PISTOLA SILICONA BK-CM620 MEGA                           
10435;43400;PLUMA STOLA III PLATA-NG PELIKAN                  
10436;25500;PLUMA URBAN BOYS 66701050 FORMAS Y C              
10439;200100;ROLLO BOLSA PUBLICIDAD 18X30 13.8 KILOS               
10440;2400;PLUMIGRAFO E-89 COLOR STDO EDDING                      
10443;10100;MARCADOR E-1200 BLISTER METALIZADOS X2 EDDING                        
10447;4500;PROBADOR BILLETES AZOR         
10448;4800;PROBADOR BILLETES AZOR MARK                       
10449;4300;PROBADOR BILLETES CON LUZ FY-1379 CLARK 
10451;3600;PROBADOR BILLETES T LIMPIO TINTA Y T              
10452;3700;PROBADOR MARKADATA PELIKAN                    
10453;3700;REP BOLIG IN-IN PLAST NEG MEDIA 1 0MM INOXCROM 93 
10454;15600;REP ROLLER METAL NEG FINA 0 6MM INOXCROM 971214   
10455;200;REPUESTO BORRA-RETRATIL RF 880 YIWU               
10458;700;BOLIGRAFO RETRACTIL STDO DORICOLOR    
10460;2100;BOLIGRAFO STK ROLLER TECH                         
10462;400;BOLIGRAFO BIC SOF GEL 1,2 STDO                    
10470;2800;BOLIGRAFO GEL PENTEL K497 AZUL                    
10471;2800;BOLIGRAFO GEL PENTEL K497 ROJO                    
10472;9600;BOLIGRAFO LUJO NEGRO 760A CLARK  
10473;43900;BOLIGRAFO VIVALDI E PLUSS 008538 INOXCROM         
10475;158400;PLUMA GOLF ELEGANCE 585022 FORMAS Y C             
10476;65300;BOLIGRAFO RG-M3 FASHION WEEK RAYAS                
10477;65000;BOLIGRAFO ROLLER MINE C-6 7008910                 
10478;5400;REPUESTO ROLLER IN IN METAL C-25 951209 FORNAS Y C
10479;2800;BOLIGRAFO HIBRID GEL PLATA RF K178-XO             
10481;600;BORRADOR 200A NEGRO JK                            
10482;600;BORRADOR 200B BEIS JK                          
10483;1400;BORRADOR 5 PUNTAS BENS STDO CLARK                 
10484;2600;BORRADOR ABC X8 AR1006 CLARK DIST                 
10486;1800;BORRADOR ACRILICO PASTA SENC TINTAS Y TRAZOS
10487;350;BORRADOR B-4 DORICOLOR                            
10488;600;BORRADOR B-6 DORICOLOR                            
10489;1500;BORRADOR BALA GP-005 STDO BENESIA                  
10490;400;BORRADOR BALON MR8615 CLARK 
10491;600;BORRADOR BEIS-NEGRO POINTER-CLIKIT                   
10493;500;GANCHO LOTERO 1 5/8 TRITON         
10494;7900;DISPENSADOR CINTA P•O JM067 MEGA                 
10502;1400;BORRADOR TINTA Y LAPIZ PAPERMATE             
10503;900;BORRADOR BR-40 X40 PELIKAN                        
10506;600;BORRADOR TECHNIC 600 MAPED                  
10507;700;BORRADOR COLORS 33 ARTESCO                        
10509;500;BORRADOR NEON DUSTFREE  KORES                       
10511;6800;BORRADOR ESCOBILLA STAEDTLER KORES                
10512;1500;BORRADOR FELPA TABLERO FABRIESCOF                 
10513;2700;BORRADOR TABLERO MADERA XO-9904 MEGA             
10514;300;BORRADOR GENERICO 502 PRIMAVERA                   
10515;500;BORRADOR FLOR MR8616 CLARK        
10516;600;BORRADOR HUEVITO E10402763 CLARK DIST             
10520;500;BORRADOR MIGA DE PAN 720 L AZUL                   
10521;500;BORRADOR MIGA PAN AR1013 CLARK DIST               
10523;800;BORRADOR MIGA PAN TK-20M FABER C                  
10525;3700;GANCHO GRAPA GALVANIZADO 300 OFFIESCO                           
10526;6600;NOTAS ADHESIVAS 76X76 400H 376 OFFIESCO                          
10527;800;PEGANTE INSTANTANEO 2GR 219 OFFIESCO                    
10528;1000;BORRADOR MP-20 CJ 20 PELIKAN                      
10530;900;BORRADOR NATA 712 GRANDE L AZUL                   
10531;500;BORRADOR NATA 724 PEQUE•O L AZUL                  
10532;300;BORRADOR NATA PEQ RF KE30 KORES                   
10533;700;BORRADOR NATA PZ-20 CJ 20 PELIKAN                 
10534;500;BORRADOR NATA PZ-40 CJ 40 PELIKAN                 
10535;400;BORRADOR NATA PZ-60 CJ 60 PELIKAN                 
10536;700;BORRADOR NATA TK-20S FABER C                      
10538;400;BORRADOR NEGRO MI TRENSITO                        
10539;500;BORRADOR NEGRO N3 DORICOLOR                       
10541;800;BORRADOR NEGRO TK-20B FABER C                     
10545;1000;BORRADOR PERSONAJE NI•A 584 PRIMAVERA             
10546;1000;BORRADOR PERSONAJE NI•O 585 PRIMAVERA             
10548;700;BORRADOR PREMIUN 720 NEGRO L AZUL                 
10550;4300;BORRADOR RETRACTIL COLOR STDO FABER C             
10551;800;BORRADOR RETRACTIL GP-008-003 JK                  
10553;700;BORRADOR RETRACTIL STUDMARK                       
10554;1500;BORRADOR RETRACTIL TRITON                         
10555;1400;BORRADOR RETRATIL CLICK ERASER PELIKAN            
10557;1000;BORRADOR RETRATIL POINTER EMP-62 POINTER    
10559;2700;BORRADOR SPINNER 1106 ARTESCO                     
10560;76500;SACAPUNTA ELECTRICO 8040010 SYSABE                  
10563;2000;BORRADOR TABLERO ACRILICO EDUCA N 1-2 MARK        
10564;1400;BORRADOR TABLERO FOMY INMANADO MARK          
10565;1400;BORRADOR TABLERO ACRILICO FELPA F A O             
10566;1800;BORRADOR TABLERO BOHO T-29                        
10570;1250;BORRADOR TABLERO J F L                            
10571;1600;BORRADOR TABLERO M D                              
10572;4400;BORRADOR TABLERO MOTABOX ARTESCO                  
10574;800;BORRADOR TECHNIC DUO KORES                        
10575;700;BORRADOR TK-20F FLUORESCENTE FABER C              
10576;4200;BORRADOR UNIVERSAL GOMSTICK MAPED
10577;3100;BORRADOR WHITEPEPS KORES                      
10578;4500;BORRADOR XPERT REF 129212 KORES                   
10579;2000;REPUESTO PORTABORRADOR MPX2 FABER C               
10580;54400;GUILLOTINA METALICA IMPOR 10*9 REF 829-5
10581;700;BORRADOR MIGA PAN BEIS-NEGRO GIPAO                    
10582;3000;BORRADOR TABLERO ACRILICO EDUCA N 3               
10583;2000;BORRADOR TABLERO INMANTADO 8A                     
10584;30800;BILLETERA CUADRADA MINI PRIMAVERA                 
10586;17000;CANGURO AMBAR ESTAMPADA JJ SPORT                  
10587;17000;CANGURO AMBAR JJ SPORT                            
10588;44200;CANGURO ASIA JJ SPORT                             
10589;15300;CANGURO CITY ECONOMICO JJ SPORT                   
10591;20400;CANGURO MED NILO JJ SPORT                         
10592;37400;CANGURO PEKIN JJ SPORT                            
10596;239250;ROLLO BOLSA PUBLICIDAD 18X30 16.5 KILOS    
10599;213150;ROLLO BOLSA PUBLICIDAD 18X30 14.7 KILOS
10600;2100;CARTERA 3 CIERRES ISAMAR        
10601;5100;CARTERA 1 BOLS PERS MIX PRIMAVERA                
10604;500;BOLIGRAFO ICE  NEGRO MAPED             
10605;19700;CARTERA 1 PISO MONSTER UNISEX MAPED               
10606;6500;CARTERA GENERICA COLOR 2 BOLS 1866 PRIMAVERA            
10607;219800;ROLLO BOLSA PUBLICIDAD 18X30 15.7 KILOS                
10608;7400;CARTERA 2 BOLS PERS MIX PRIMAVERA                
10611;3600;CARTERA 2 CIERRE ECONO JJ SPORT                   
10612;4000;CARTERA 2 CIERRE ESTAMP JJ SPORT                  
10613;3800;CARTERA 2 CIERRE NASSAU JJ SPORT                  
10614;2800;CARTERA 2 CIERRE TEXAS JJ SPORT                   
10617;4900;POKER PASTA PK-2 CLARK            
10619;1400;ALFILER MADE 2813 CLARK        
10620;10400;CARTERA 3 BOLS PERS MIX PRIMAVERA                
10622;5200;CARTERA 3 CIERRE ALASKA JJ SPORT                  
10623;7400;CARTERA 3 CIERRE ESTAMP JJ SPORT                  
10625;17900;CARTERA 3 CIERRES ESTAMP-COLOR ARTISAN  
10626;1800;CARTERA ANDY JJ SPORT                                      
10627;1800;CARTERA ANDY ESTAMP JJ SPORT                      
10631;11100;CARTERA CANDY ESTAMP JJ SPORT                     
10632;10300;CARTERA CANDY LISA JJ SPORT                       
10634;5200;CARTERA CILIND ECONO JJ SPORT                     
10635;13600;CARTERA CILIND MINERVA JJ SPORT                   
10636;8800;CARTERA COLORFULL ESTAMPADA RF KM1500CF1 LEGIS    
10638;45300;CARTERA DESPEGLABLE NIA MAPED                     
10639;38000;CARTERA DESPEGLABLE NIO MAPED                     
10641;1700;CARTERA DOBLE CIERRE ISAMAR                       
10642;19500;CARTERA DOBLE SERVICIO DRAGON 9-20 LEGIS                      
10649;1900;CARTERA ECONOMICA POWER JJ SPORT                  
10650;2600;CARTERA ESCAR-DOB-BOLS MASTERKOLOR                
10651;5600;CARTERA ESCOLAR 2 BOLS AR ACCESORIOS              
10652;7800;CARTERA ESCOLAR 3 BOLS AR ACCESORIOS             
10653;5200;CARTERA ESTAMPADA SWEET JJ SPORT                  
10654;3300;CARTERA ESTELAR 1 CIERRE ESTAMP JJ SPORT          
10655;3900;CARTERA ESTELAR LISA JJ SPORT                              
10656;6800;CARTERA EVOLUTION JJ SPORT                        
10657;8800;CARTERA PLANA 2 BOLS SCRIBE                   
10660;5400;POKER PLASTICO EKO PK-2 CLARK            
10661;8100;CARTERA UNICOLOR GDE 1399 PRIMAVERA                   
10663;2100;CARTERA JUNIOR PLANA YAQUE VERA                   
10664;9900;CARTERA KEVIN ESTAMPADA JJ SPORT                  
10665;10300;CARTERA KEVIN LISA JJ SPORT                       
10668;9400;CARTERA L JUSTICIA 3 CIERRES SCRIBE               
10670;18700;CARTERA LONA DOBLE AFRIK-9 LEGIS                  
10673;15600;CARTERA M TV ROSA-DECO DOB-BOLS SCRIBE            
10674;6200;CARTERA MELLOW ESTAMPADA JJ SPORT                 
10675;6600;CARTERA MELLOW LISA JJ SPORT                      
10679;14900;CARTERA RECT JUVENIL 2 BOLS PRIMAVERA
10681;6800;CARTERA MOTIVOS RF KM001500AV1 LEGIS              
10684;10700;CARTERA OVAL 2 BOLS PERS MIX PRIMAVERA      
